sy_snum,sy_pnum,pl_orbper,pl_radj,pl_massj,pl_orbeccen,st_teff,st_rad,st_mass
1,1,9.20205000,1.190,0.70300,0.140000,6190.00,1.17,1.16
1,1,9.20205000,1.160,0.73100,,6190.00,1.15,1.19
1,1,9.20164964,1.199,,,6190.00,1.12,
1,1,4.03791560,1.256,0.45900,,,1.11,0.99
1,1,4.03790124,1.640,,,6100.00,1.27,
1,1,4.03791560,,,,,,
1,1,4.03789620,1.388,0.47800,0.087000,6100.00,1.19,1.00
1,1,4.03789620,1.182,0.47000,,6100.00,1.05,1.02
1,1,4.03789620,1.388,0.46700,0.090000,6100.00,1.19,1.00
1,1,8.88659300,1.166,2.95000,0.180000,6090.00,1.02,1.05
1,1,8.88659300,1.166,2.96000,0.100000,6090.00,1.02,1.05
1,1,8.88659300,1.185,2.96000,,6090.00,1.04,1.05
1,1,8.88662870,,,,,,
1,3,0.85350000,0.136,0.01905,,5250.00,,0.92
1,3,0.85359163,0.150,0.01283,0.000000,5275.00,0.83,0.82
1,3,0.85358500,0.166,0.02200,,5250.00,0.96,0.88
1,3,0.85359159,0.141,0.01800,0.000000,5259.00,0.82,0.91
1,3,0.85359165,,0.01500,0.120000,5256.00,0.86,0.90
1,3,0.85358500,0.150,0.06600,,5275.00,0.87,0.93
1,3,0.85400000,0.141,0.01447,,5313.00,0.84,0.88
1,3,0.85358500,,0.01510,0.000000,5256.00,0.86,0.90
1,3,3.69800000,,0.02643,0.000000,5256.00,0.86,0.90
1,3,3.70000000,,0.04300,0.120000,5256.00,0.86,0.90
1,3,3.69700000,,0.04181,,5250.00,,0.92
1,3,8.96600000,,0.05393,,5250.00,,0.92
1,1,6.21238100,0.570,0.21800,0.190000,5080.00,0.77,0.88
1,1,6.21229000,0.570,0.22000,0.000000,5080.00,0.77,0.88
1,1,6.21229000,0.712,0.21600,,5080.00,0.90,0.88
1,1,6.21244500,0.619,0.21800,,,0.80,0.89
2,1,95.27272500,,,,,,
2,1,95.27265600,1.066,0.84000,0.133000,5625.00,0.96,0.96
2,1,95.27380000,1.037,0.82600,,5625.00,0.94,0.96
2,1,95.27265600,1.066,0.84600,0.134000,5625.00,0.96,0.96
2,1,95.27380000,1.050,0.84000,0.110000,5625.00,0.94,0.99
1,1,6.71837000,0.570,0.15000,,5970.00,0.79,1.08
1,1,6.71836780,,,,5970.00,0.79,1.08
2,1,4098.10000000,,,0.000000,,,0.51
1,1,246.36000000,,28.50000,0.345000,,,0.07
1,1,,,11.00000,,,0.27,0.33
1,1,,2.700,11.00000,,4371.00,1.37,0.68
1,4,18.57000000,,,0.083000,6196.00,1.26,1.21
1,4,6.58400000,,,0.057000,6196.00,1.26,1.21
1,4,2.88200000,,,0.070000,6196.00,1.26,1.21
1,4,5.51600000,,,0.070000,6196.00,1.26,1.21
1,1,5.20720000,,,0.078000,6500.00,1.78,1.44
2,1,6.67320000,,,0.140000,5138.00,0.91,0.87
2,1,6.67360000,,,0.000000,,,
1,1,3.49820000,,,0.063000,6400.00,1.38,1.25
2,1,8693.00000000,,6.28000,,,,
2,1,10220.00000000,,,0.390000,,,0.69
2,1,8.13822218,0.551,,,5414.00,0.95,
2,1,8.13870000,0.500,1.30000,,5542.00,0.87,0.96
2,1,8.13826800,0.509,,0.000000,5428.00,0.96,1.01
1,1,6.79870000,0.093,,0.000000,3648.00,0.28,0.29
1,1,28.16560000,0.167,,,,,0.41
1,1,28.16960000,0.200,,,,0.37,
1,1,0.72091000,0.134,,,5633.00,0.94,
1,1,2.13174000,0.062,,,,,0.78
1,1,0.87718300,0.130,,,5705.00,0.93,
1,1,0.87721400,0.116,,,5820.00,0.93,
1,1,0.87703000,0.110,,,5711.17,0.99,1.02
1,2,3.80464000,0.109,,,,,1.07
1,3,2.71578000,0.092,,,,,0.67
1,1,2.04780000,0.081,,0.000000,4520.00,0.66,0.73
1,2,3.96151000,0.089,,,,,0.61
1,2,3.96165000,0.132,,,,0.63,
1,1,4.16888000,0.126,,,,0.63,
1,1,4.16959000,0.098,,,,,0.80
1,1,4.16980000,0.093,,,5053.00,0.63,0.80
1,2,8.04680000,0.105,,,,,0.91
1,2,8.05160000,0.145,,,,0.90,
1,2,8.05072200,0.117,,,5502.70,0.83,0.88
1,3,4.50756000,0.152,,,,,0.93
1,3,4.50717000,0.128,,,,0.82,
1,3,0.91165670,0.120,,,5648.00,0.94,
1,3,0.91172400,0.125,,,5724.00,1.10,
1,3,0.91161800,0.103,,,,0.82,
1,3,14.64350000,0.225,,,,0.82,
1,3,14.64154100,0.262,,,5648.00,0.94,
1,3,14.64753100,0.232,,,5724.00,1.10,
1,3,14.63700000,0.360,,,6438.00,1.50,
1,1,2.87814000,0.090,,,,,0.22
