pl_name,hostname,No.of stars,No.of Planets,No.of Moons,Discovery year,Discovery facility,Discovery Instrument,Orbital Period,Stellar effective Temparature,Stellar radius,Stellar mass,Stellar surface gravity,distance,Gaia Magnitude,releasedate
Kepler-501 c,Kepler-501,1,2,0,2021,Kepler,Kepler CCD Array,3.62269606,6217.0,0.99,1.06,4.47,1125.24,14.7303,2014-11-18
Kepler-502 b,Kepler-502,1,1,0,2016,Kepler,Kepler CCD Array,4.28686623,6228.0,1.05,1.11,4.44,1591.04,14.9719,2017-05-08
Kepler-504 b,Kepler-504,2,1,0,2016,Kepler,Kepler CCD Array,9.54927542,3514.0,0.37,0.39,4.89,99.0688,14.4582,2014-11-21
Kepler-505 b,Kepler-505,1,1,0,2016,Kepler,Kepler CCD Array,27.521732,4057.0,0.52,0.55,4.74,283.41,15.115,2013-10-28
Kepler-506 b,Kepler-506,1,1,0,2016,Kepler,Kepler CCD Array,6.8834055,6236.0,1.19,1.19,4.36,228.439,10.7836,2016-05-10
Kepler-507 b,Kepler-507,1,1,0,2016,Kepler,Kepler CCD Array,3.56809693,6036.0,1.21,1.13,4.32,391.644,11.9224,2014-11-18
Kepler-508 b,Kepler-508,1,1,0,2016,Kepler,Kepler CCD Array,25.30889748,6283.0,1.77,1.27,4.05,324.618,11.6039,2014-11-21
Kepler-509 b,Kepler-509,1,1,0,2016,Kepler,Kepler CCD Array,41.74598855,5978.0,1.17,1.03,4.32,332.443,11.7836,2017-05-08
Kepler-51 b,Kepler-51,1,3,0,2012,Kepler,Kepler CCD Array,45.1555023,5803.0,0.91,1.0,4.52,783.831,14.6777,2014-05-16
Kepler-51 c,Kepler-51,1,3,0,2012,Kepler,Kepler CCD Array,85.3162004,6046.0,0.97,1.05,4.49,783.831,14.6777,2017-05-08
Kepler-51 d,Kepler-51,1,3,0,2014,Kepler,Kepler CCD Array,130.17746603,6046.0,0.97,1.05,4.49,783.831,14.6777,2015-08-25
Kepler-510 b,Kepler-510,1,1,0,2016,Kepler,Kepler CCD Array,19.55659418,5622.0,1.41,0.88,4.09,386.177,11.9222,2015-08-25
Kepler-511 b,Kepler-511,1,2,0,2016,Kepler,Kepler CCD Array,296.637865,5770.0,1.2,1.0,4.28,651.999,12.5832,2016-05-10
Kepler-511 c,Kepler-511,1,2,0,2021,Kepler,Kepler CCD Array,26.6294395,6023.54,1.63,1.12,4.06,651.999,12.5832,2016-07-28
Kepler-512 b,Kepler-512,1,1,0,2016,Kepler,Kepler CCD Array,34.43587975,6100.0,0.96,0.95,4.45,467.375,12.6135,2014-11-18
Kepler-513 b,Kepler-513,1,1,0,2016,Kepler,Kepler CCD Array,28.86236571,5725.0,1.09,0.92,4.33,468.258,12.8822,2017-05-08
Kepler-514 b,Kepler-514,2,1,0,2016,Kepler,Kepler CCD Array,5.65178922,5998.99,1.39,1.11,4.2,455.336,12.1325,2018-09-25
Kepler-515 b,Kepler-515,2,1,0,2016,Kepler,Kepler CCD Array,19.96371318,5780.0,1.0,1.0,4.44,,,2014-11-18
Kepler-516 b,Kepler-516,1,1,0,2016,Kepler,Kepler CCD Array,24.85466504,6731.0,1.84,1.43,4.06,687.094,11.9642,2018-09-25
Kepler-517 b,Kepler-517,2,1,0,2016,Kepler,Kepler CCD Array,60.92832271,5598.0,1.06,0.86,4.32,289.907,12.1297,2014-11-18
Kepler-518 b,Kepler-518,1,1,0,2016,Kepler,Kepler CCD Array,8.51203588,5842.0,0.88,0.96,4.53,337.901,12.5097,2016-05-10
Kepler-519 b,Kepler-519,2,1,0,2016,Kepler,Kepler CCD Array,24.30784323,5272.08,0.82,0.9,4.57,246.61,12.6181,2018-09-25
Kepler-52 b,Kepler-52,1,3,0,2012,Kepler,Kepler CCD Array,7.87740709,3898.0,0.54,0.56,4.72,321.542,15.0589,2015-08-25
Kepler-52 c,Kepler-52,1,3,0,2012,Kepler,Kepler CCD Array,16.38489988,4116.0,0.68,0.64,4.58,321.542,15.0589,2018-09-25
Kepler-52 d,Kepler-52,1,3,0,2014,Kepler,Kepler CCD Array,36.44530957,4116.0,0.68,0.64,4.58,321.542,15.0589,2016-07-28
Kepler-520 b,Kepler-520,1,2,0,2016,Kepler,Kepler CCD Array,19.67409703,5919.59,,,,623.901,12.7602,2018-09-25
Kepler-520 c,Kepler-520,1,2,0,2016,Kepler,Kepler CCD Array,5.21104101,5919.59,,,,623.901,12.7602,2019-04-18
Kepler-521 b,Kepler-521,1,1,0,2016,Kepler,Kepler CCD Array,,6563.0,1.67,,,830.638,12.8908,2018-09-06
Kepler-522 b,Kepler-522,1,1,0,2016,Kepler,Kepler CCD Array,38.58422849,6392.0,1.98,1.54,4.04,639.239,12.1457,2016-05-10
Kepler-523 b,Kepler-523,1,1,0,2016,Kepler,Kepler CCD Array,5.83598311,5515.0,0.86,0.93,4.54,253.295,12.481,2016-05-10
Kepler-524 b,Kepler-524,1,2,0,2016,Kepler,Kepler CCD Array,7.97419807,6049.0,1.25,1.03,4.26,1058.24,13.8868,2014-11-21
Kepler-524 c,Kepler-524,1,2,0,2016,Kepler,Kepler CCD Array,1.88899036,5842.52,1.62,1.05,4.04,1058.24,13.8868,2018-09-25
Kepler-525 b,Kepler-525,1,1,0,2016,Kepler,Kepler CCD Array,18.68421,5536.0,1.5,1.03,4.1,992.852,13.4906,2013-10-28
Kepler-526 b,Kepler-526,1,1,0,2016,Kepler,Kepler CCD Array,5.45851,5719.0,1.21,1.13,4.33,666.146,13.0384,2013-10-28
Kepler-527 b,Kepler-527,1,1,0,2016,Kepler,Kepler CCD Array,13.28536452,6283.5,1.22,1.23,4.35,750.04,13.334,2018-09-25
Kepler-528 b,Kepler-528,1,1,0,2016,Kepler,Kepler CCD Array,19.78297415,5807.0,1.06,1.01,4.39,784.23,13.9033,2016-05-10
Kepler-529 b,Kepler-529,1,3,0,2016,Kepler,Kepler CCD Array,1.98035766,6087.0,1.14,1.07,4.35,799.008,13.7399,2016-05-10
Kepler-529 c,Kepler-529,1,3,0,2016,Kepler,Kepler CCD Array,12.8345022,6248.0,0.89,0.98,4.53,799.008,13.7399,2014-11-21
Kepler-529 d,Kepler-529,1,3,0,2021,Kepler,Kepler CCD Array,35.86286,6278.0,1.04,1.13,4.45,799.008,13.7399,2013-10-28
Kepler-53 b,Kepler-53,1,3,0,2012,Kepler,Kepler CCD Array,18.6489525,5858.0,0.89,0.98,4.53,1366.07,15.3877,2021-09-22
Kepler-53 c,Kepler-53,1,3,0,2012,Kepler,Kepler CCD Array,38.558,,0.94,1.02,,1366.07,15.3877,2014-05-28
Kepler-53 d,Kepler-53,1,3,0,2014,Kepler,Kepler CCD Array,9.75192101,5775.0,1.05,1.03,4.41,1366.07,15.3877,2017-05-08
Kepler-530 b,Kepler-530,2,1,0,2016,Kepler,Kepler CCD Array,39.30924,5984.0,1.12,1.0,4.34,457.709,13.3949,2013-10-28
Kepler-531 b,Kepler-531,1,1,0,2016,Kepler,Kepler CCD Array,29.88487723,4784.52,0.77,0.77,4.55,252.762,13.2923,2018-09-25
Kepler-532 b,Kepler-532,1,1,0,2016,Kepler,Kepler CCD Array,12.924907,5028.0,0.78,0.84,4.58,312.798,13.5036,2016-07-28
Kepler-533 b,Kepler-533,1,1,0,2016,Kepler,Kepler CCD Array,28.51120525,4758.0,0.72,0.78,4.61,302.955,13.9246,2016-05-10
Kepler-534 b,Kepler-534,1,2,0,2016,Kepler,Kepler CCD Array,15.959946,5935.0,1.04,1.09,4.44,570.659,13.231,2013-10-28
Kepler-534 c,Kepler-534,1,2,0,2021,Kepler,Kepler CCD Array,7.37868381,5927.0,1.12,1.08,4.37,570.659,13.231,2016-07-28
Kepler-535 b,Kepler-535,1,1,0,2016,Kepler,Kepler CCD Array,4.9033218,6017.92,1.36,1.11,4.22,685.599,13.1197,2018-09-25
Kepler-536 b,Kepler-536,1,1,0,2016,Kepler,Kepler CCD Array,1.8270823,5311.0,1.77,0.83,3.86,462.322,13.7823,2014-11-18
Kepler-537 b,Kepler-537,1,1,0,2016,Kepler,Kepler CCD Array,,5697.0,0.96,,,439.4,13.0657,2018-09-06
Kepler-538 b,Kepler-538,2,1,0,2016,Kepler,Kepler CCD Array,81.73780699,5650.0,0.9,0.96,4.51,155.956,11.1647,2016-05-10
Kepler-539 b,Kepler-539,1,2,0,2016,Kepler,Kepler CCD Array,125.63064,5872.0,0.97,1.05,4.49,307.318,12.379,2013-10-28
Kepler-539 c,Kepler-539,1,2,0,2016,Kepler,Kepler CCD Array,1000.0,5820.0,0.95,1.05,4.5,307.318,12.379,2016-05-10
Kepler-54 b,Kepler-54,1,3,0,2012,Kepler,Kepler CCD Array,8.01081478,3726.0,0.47,0.49,4.78,271.701,15.8133,2014-11-21
Kepler-54 c,Kepler-54,1,3,0,2012,Kepler,Kepler CCD Array,12.072,,0.53,0.56,,271.701,15.8133,2014-05-28
Kepler-54 d,Kepler-54,1,3,0,2014,Kepler,Kepler CCD Array,20.99589959,3726.0,0.47,0.49,4.78,271.701,15.8133,2014-11-18
Kepler-540 b,Kepler-540,1,1,0,2016,Kepler,Kepler CCD Array,172.7012555,5811.26,1.25,1.04,4.26,390.374,12.1868,2016-07-28
Kepler-541 b,Kepler-541,1,1,0,2016,Kepler,Kepler CCD Array,5.08007383,6079.73,2.15,1.14,3.83,1060.68,13.228,2019-04-18
Kepler-542 b,Kepler-542,1,1,0,2016,Kepler,Kepler CCD Array,13.14494,5639.0,0.95,0.89,4.43,436.016,13.4161,2013-10-28
Kepler-543 b,Kepler-543,1,1,0,2016,Kepler,Kepler CCD Array,13.89961966,4671.0,0.67,0.7,4.63,221.802,13.3744,2016-05-10
Kepler-544 b,Kepler-544,1,1,0,2016,Kepler,Kepler CCD Array,21.41616926,6343.0,1.14,1.21,4.41,963.18,13.5408,2015-08-25
Kepler-545 b,Kepler-545,1,1,0,2016,Kepler,Kepler CCD Array,13.249212,5894.0,0.9,1.0,4.53,818.001,14.105,2013-10-28
Kepler-546 b,Kepler-546,1,1,0,2016,Kepler,Kepler CCD Array,4.14701989,5694.0,1.4,1.01,4.15,1019.65,14.251,2016-07-28
Kepler-547 b,Kepler-547,1,1,0,2016,Kepler,Kepler CCD Array,,4878.0,0.76,,,378.972,14.207,2018-09-06
Kepler-548 b,Kepler-548,1,1,0,2016,Kepler,Kepler CCD Array,4.45419446,5353.54,0.92,0.93,4.48,751.776,14.9844,2016-07-28
Kepler-549 b,Kepler-549,1,3,0,2016,Kepler,Kepler CCD Array,42.9495649,5467.0,0.86,0.84,4.5,635.145,14.6226,2014-11-18
Kepler-549 c,Kepler-549,1,3,0,2016,Kepler,Kepler CCD Array,117.033521,5259.0,0.85,0.9,4.54,635.145,14.6226,2018-09-25
Kepler-549 d,Kepler-549,1,3,0,2023,Kepler,Kepler CCD Array,24.6147995,5312.0,0.99,0.86,4.38,635.145,14.6226,2023-05-16
Kepler-55 b,Kepler-55,1,5,0,2012,Kepler,Kepler CCD Array,27.9653169,4398.0,0.72,0.69,4.57,578.796,15.7813,2016-07-28
Kepler-55 c,Kepler-55,1,5,0,2012,Kepler,Kepler CCD Array,42.14334,4509.0,0.6,0.63,4.68,578.796,15.7813,2013-10-28
Kepler-55 d,Kepler-55,1,5,0,2014,Kepler,Kepler CCD Array,2.21111699,4398.0,0.72,0.69,4.57,578.796,15.7813,2018-09-25
Kepler-55 e,Kepler-55,1,5,0,2014,Kepler,Kepler CCD Array,4.61757445,4398.0,0.72,0.69,4.57,578.796,15.7813,2019-04-18
Kepler-55 f,Kepler-55,1,5,0,2014,Kepler,Kepler CCD Array,,4503.0,0.68,,,578.796,15.7813,2018-09-06
Kepler-550 b,Kepler-550,1,1,0,2016,Kepler,Kepler CCD Array,8.60009931,5246.0,0.81,0.75,4.5,531.944,14.4716,2017-05-08
Kepler-551 b,Kepler-551,1,1,0,2016,Kepler,Kepler CCD Array,12.37647168,4202.0,0.67,0.66,4.6,311.175,14.8603,2019-04-18
Kepler-552 b,Kepler-552,1,1,0,2016,Kepler,Kepler CCD Array,5.26341577,6091.0,1.02,1.09,4.46,843.689,14.2624,2014-11-21
Kepler-553 b,Kepler-553,1,2,0,2016,Kepler,Kepler CCD Array,4.03046954,5104.0,0.95,0.86,4.42,728.525,14.9567,2019-04-18
Kepler-553 c,Kepler-553,1,2,0,2016,Kepler,Kepler CCD Array,328.2399546,5551.0,0.9,0.95,4.51,728.525,14.9567,2014-11-18
Kepler-554 b,Kepler-554,1,1,0,2016,Kepler,Kepler CCD Array,,5458.0,0.97,,,690.525,14.2961,2018-09-06
Kepler-555 b,Kepler-555,1,1,0,2016,Kepler,Kepler CCD Array,16.21775407,5834.0,0.8,0.88,4.58,973.121,14.161,2015-08-25
Kepler-556 b,Kepler-556,1,1,0,2016,Kepler,Kepler CCD Array,11.72292176,5957.0,0.94,1.03,4.51,674.598,14.1247,2014-11-21
Kepler-557 b,Kepler-557,1,1,0,2016,Kepler,Kepler CCD Array,3.70598955,6187.0,1.03,1.0,4.41,2097.12,14.6387,2014-11-21
Kepler-558 b,Kepler-558,1,1,0,2016,Kepler,Kepler CCD Array,29.00790538,5292.0,0.8,0.86,4.57,661.876,14.9538,2014-11-21
Kepler-559 b,Kepler-559,1,1,0,2016,Kepler,Kepler CCD Array,,5433.0,0.94,,,776.708,14.7424,2018-09-06
Kepler-56 b,Kepler-56,1,3,0,2012,Kepler,Kepler CCD Array,10.501,,4.23,1.32,,912.994,12.4298,2014-05-28
Kepler-56 c,Kepler-56,1,3,0,2012,Kepler,Kepler CCD Array,21.4050484,4931.0,3.14,1.37,3.58,912.994,12.4298,2014-05-16
Kepler-56 d,Kepler-56,1,3,0,2016,Multiple Observatories,Multiple Instruments,1002.0,4819.44,4.22,,,912.994,12.4298,2016-10-13
Kepler-560 b,Kepler-560,2,1,0,2016,Kepler,Kepler CCD Array,18.47762694,3395.0,0.28,0.27,4.97,109.308,14.7511,2017-05-08
Kepler-561 b,Kepler-561,1,2,0,2016,Kepler,Kepler CCD Array,58.36205791,5408.89,0.93,0.94,4.48,621.378,14.3316,2018-09-25
Kepler-561 c,Kepler-561,1,2,0,2016,Kepler,Kepler CCD Array,5.35016198,5646.0,0.94,0.96,4.48,621.378,14.3316,2016-05-10
Kepler-562 b,Kepler-562,1,1,0,2016,Kepler,Kepler CCD Array,18.00931444,5815.0,0.88,0.97,4.54,992.769,14.7427,2014-11-18
Kepler-563 b,Kepler-563,1,1,0,2016,Kepler,Kepler CCD Array,22.18431103,5040.89,0.79,0.84,4.57,565.207,14.7389,2019-04-18
Kepler-564 b,Kepler-564,1,1,0,2016,Kepler,Kepler CCD Array,3.75083254,5582.29,0.99,0.99,4.44,863.037,14.7194,2016-07-28
Kepler-565 b,Kepler-565,1,1,0,2016,Kepler,Kepler CCD Array,4.2437395,,,,,,,2019-04-18
Kepler-566 b,Kepler-566,1,1,0,2016,Kepler,Kepler CCD Array,18.42794624,5140.0,0.78,0.74,4.53,564.277,14.9644,2015-08-25
Kepler-567 b,Kepler-567,1,1,0,2016,Kepler,Kepler CCD Array,16.54301,5091.0,0.75,0.75,4.56,558.81,14.6694,2013-10-28
Kepler-568 b,Kepler-568,1,1,0,2016,Kepler,Kepler CCD Array,11.02347475,3768.0,0.53,0.55,4.73,130.645,14.2513,2016-05-10
Kepler-569 b,Kepler-569,1,1,0,2016,Kepler,Kepler CCD Array,34.18890521,5851.0,0.92,1.01,4.51,638.301,14.0822,2015-08-25
Kepler-57 b,Kepler-57,1,2,0,2012,Kepler,Kepler CCD Array,,5203.0,0.82,,,644.14,14.7738,2018-09-06
Kepler-57 c,Kepler-57,1,2,0,2012,Kepler,Kepler CCD Array,11.60907117,5324.0,0.79,0.88,4.58,644.14,14.7738,2015-08-25
Kepler-570 b,Kepler-570,1,1,0,2016,Kepler,Kepler CCD Array,4.30166471,5363.89,0.82,0.93,4.58,568.148,14.3288,2016-07-28
Kepler-571 b,Kepler-571,1,1,0,2016,Kepler,Kepler CCD Array,4.79859939,5632.0,0.85,0.93,4.55,723.875,14.6536,2014-11-21
Kepler-572 b,Kepler-572,1,1,0,2016,Kepler,Kepler CCD Array,17.20522898,5106.6,0.77,0.86,4.59,504.667,14.4853,2018-09-25
Kepler-573 b,Kepler-573,1,1,0,2016,Kepler,Kepler CCD Array,22.18329658,5746.0,1.02,0.99,4.41,771.471,14.1359,2016-05-10
Kepler-574 b,Kepler-574,1,1,0,2016,Kepler,Kepler CCD Array,7.65878097,5412.84,0.89,0.94,4.51,682.896,14.5392,2016-07-28
Kepler-575 b,Kepler-575,1,1,0,2016,Kepler,Kepler CCD Array,9.37891944,5684.0,0.81,0.74,4.49,853.977,14.7124,2015-08-25
Kepler-576 b,Kepler-576,1,1,0,2016,Kepler,Kepler CCD Array,29.91136794,5589.0,1.22,1.01,4.27,617.55,14.382,2014-11-21
Kepler-577 b,Kepler-577,1,1,0,2016,Kepler,Kepler CCD Array,25.69582143,4987.0,0.71,0.83,4.66,524.247,14.9368,2019-04-18
Kepler-578 b,Kepler-578,1,1,0,2016,Kepler,Kepler CCD Array,1.6168863,5337.0,0.87,0.8,4.46,541.432,14.4107,2013-10-28
Kepler-579 b,Kepler-579,1,1,0,2016,Kepler,Kepler CCD Array,9.66857723,5288.0,0.84,0.88,4.54,530.765,14.2462,2014-11-18
Kepler-58 b,Kepler-58,1,4,0,2012,Kepler,Kepler CCD Array,10.21871176,5707.0,1.02,1.02,4.43,969.252,14.8663,2019-04-18
Kepler-58 c,Kepler-58,1,4,0,2012,Kepler,Kepler CCD Array,15.5741568,5843.0,1.03,0.95,4.39,969.252,14.8663,2021-09-22
Kepler-58 d,Kepler-58,1,4,0,2014,Kepler,Kepler CCD Array,40.10101,6082.0,1.09,1.04,4.38,969.252,14.8663,2013-10-28
Kepler-58 e,Kepler-58,1,4,0,2023,Kepler,Kepler CCD Array,4.45816994,6100.0,1.08,1.02,4.38,969.252,14.8663,2023-05-16
Kepler-580 b,Kepler-580,1,1,0,2016,Kepler,Kepler CCD Array,8.22241355,4213.0,0.61,0.63,4.66,323.899,14.9505,2017-05-08
Kepler-581 b,Kepler-581,1,1,0,2016,Kepler,Kepler CCD Array,40.6069821,5601.0,0.83,0.91,4.56,703.758,14.5302,2014-11-18
Kepler-582 b,Kepler-582,1,1,0,2016,Kepler,Kepler CCD Array,18.49234792,5100.0,0.8,0.86,4.57,613.179,14.9129,2018-09-25
Kepler-583 b,Kepler-583,1,1,0,2016,Kepler,Kepler CCD Array,6.51003001,5638.0,1.15,1.03,4.33,867.271,14.7985,2017-05-08
Kepler-584 b,Kepler-584,1,1,0,2016,Kepler,Kepler CCD Array,35.1810304,6466.0,1.18,1.21,4.37,1848.84,14.8141,2014-11-18
Kepler-585 b,Kepler-585,1,1,0,2016,Kepler,Kepler CCD Array,2.75235969,5461.0,0.9,0.93,4.5,585.187,14.0171,2017-05-08
Kepler-586 b,Kepler-586,1,1,0,2016,Kepler,Kepler CCD Array,2.10472197,5703.0,0.97,1.09,4.5,693.766,14.4125,2017-05-08
Kepler-587 b,Kepler-587,1,1,0,2016,Kepler,Kepler CCD Array,10.94027841,5549.0,0.89,0.92,4.51,787.894,14.8658,2016-05-10
Kepler-588 b,Kepler-588,1,1,0,2016,Kepler,Kepler CCD Array,4.22162536,5835.0,1.0,1.01,4.44,1209.4,14.6813,2016-05-10
Kepler-589 b,Kepler-589,1,2,0,2016,Kepler,Kepler CCD Array,16.54967098,5372.0,0.92,0.83,4.43,612.803,14.6611,2017-05-08
Kepler-589 c,Kepler-589,1,2,0,2021,Kepler,Kepler CCD Array,3.52468054,5372.0,0.92,0.83,4.43,612.803,14.6611,2014-11-21
Kepler-59 b,Kepler-59,1,2,0,2012,Kepler,Kepler CCD Array,11.8693144,6296.0,1.01,1.07,4.46,1163.22,14.2786,2017-05-08
Kepler-59 c,Kepler-59,1,2,0,2012,Kepler,Kepler CCD Array,17.9776157,6085.0,1.17,1.12,4.35,1163.22,14.2786,2016-05-10
Kepler-590 b,Kepler-590,1,1,0,2016,Kepler,Kepler CCD Array,5.85296623,5799.81,1.72,1.04,3.99,1421.81,14.4165,2016-07-28
Kepler-591 b,Kepler-591,1,1,0,2016,Kepler,Kepler CCD Array,81.1699,5803.0,0.87,0.98,4.55,785.137,14.4607,2013-10-28
Kepler-592 b,Kepler-592,1,1,0,2016,Kepler,Kepler CCD Array,2.82021,6107.0,0.97,1.07,4.49,1153.13,14.6275,2013-10-28
Kepler-593 b,Kepler-593,1,1,0,2016,Kepler,Kepler CCD Array,21.21708973,5967.0,1.1,1.08,4.39,973.76,14.4995,2016-05-10
Kepler-594 b,Kepler-594,1,1,0,2016,Kepler,Kepler CCD Array,13.64617478,5282.95,0.96,0.91,4.44,769.2,14.7563,2018-09-25
Kepler-595 b,Kepler-595,1,2,0,2016,Kepler,Kepler CCD Array,25.3029092,,0.82,0.93,,643.009,14.7628,2020-11-19
Kepler-595 c,Kepler-595,1,2,0,2020,Kepler,Kepler CCD Array,12.3860474,5138.5,0.85,0.87,4.52,643.009,14.7628,2018-09-25
Kepler-596 b,Kepler-596,1,1,0,2016,Kepler,Kepler CCD Array,21.30022655,6343.0,1.11,1.07,4.38,1023.85,14.0136,2014-11-21
Kepler-597 b,Kepler-597,1,1,0,2016,Kepler,Kepler CCD Array,13.02347295,5652.97,1.0,1.0,4.44,663.418,14.0185,2019-04-18
Kepler-598 b,Kepler-598,1,2,0,2016,Kepler,Kepler CCD Array,3.7017654,5245.0,0.9,0.9,4.48,681.086,14.7207,2018-09-25
Kepler-598 c,Kepler-598,1,2,0,2020,Kepler,Kepler CCD Array,86.4947807,5252.0,0.9,0.81,4.44,681.086,14.7207,2015-08-25
Kepler-599 b,Kepler-599,1,1,0,2016,Kepler,Kepler CCD Array,15.65563866,5007.0,0.73,0.83,4.63,558.517,14.9483,2018-09-25
Kepler-6 b,Kepler-6,1,1,0,2009,Kepler,Kepler CCD Array,3.2346944,5613.0,1.31,,4.2,587.039,13.1714,2024-09-16
Kepler-60 b,Kepler-60,1,3,0,2012,Kepler,Kepler CCD Array,7.13294363,6200.0,1.45,1.1,4.16,1025.1,13.9132,2015-08-25
Kepler-60 c,Kepler-60,1,3,0,2012,Kepler,Kepler CCD Array,8.91902447,6200.0,1.45,1.1,4.16,1025.1,13.9132,2014-11-18
Kepler-60 d,Kepler-60,1,3,0,2012,Kepler,Kepler CCD Array,11.8984948,5862.0,1.31,0.97,4.19,1025.1,13.9132,2017-05-08
Kepler-600 b,Kepler-600,1,1,0,2016,Kepler,Kepler CCD Array,23.67523,5278.0,0.74,0.84,4.63,619.723,14.701,2013-10-28
Kepler-601 b,Kepler-601,1,1,0,2016,Kepler,Kepler CCD Array,5.378868,5077.0,0.77,0.81,4.57,414.825,14.0013,2017-05-08
Kepler-602 b,Kepler-602,1,1,0,2016,Kepler,Kepler CCD Array,15.28467725,5763.0,1.37,1.04,4.18,1159.31,14.4779,2017-05-08
Kepler-603 b,Kepler-603,1,3,0,2016,Kepler,Kepler CCD Array,21.05611138,5825.0,1.54,1.05,4.08,1539.63,14.8159,2019-04-18
Kepler-603 c,Kepler-603,1,3,0,2016,Kepler,Kepler CCD Array,127.90883265,5825.0,1.54,1.05,4.08,1539.63,14.8159,2016-07-28
Kepler-603 d,Kepler-603,1,3,0,2016,Kepler,Kepler CCD Array,6.2171292,5960.0,0.91,0.98,4.52,1539.63,14.8159,2014-11-21
Kepler-604 b,Kepler-604,1,1,0,2016,Kepler,Kepler CCD Array,,6138.0,1.05,,,1026.49,14.6798,2018-09-06
Kepler-605 b,Kepler-605,1,2,0,2016,Kepler,Kepler CCD Array,3.38353807,5438.0,0.82,0.92,4.57,556.58,14.1363,2014-11-18
Kepler-605 c,Kepler-605,1,2,0,2016,Kepler,Kepler CCD Array,2.35895152,5438.0,0.82,0.92,4.57,556.58,14.1363,2014-11-18
Kepler-606 b,Kepler-606,1,1,0,2016,Kepler,Kepler CCD Array,24.31575992,6241.0,1.03,1.09,4.45,1215.11,14.6644,2014-11-21
Kepler-607 b,Kepler-607,1,2,0,2016,Kepler,Kepler CCD Array,0.63816343,5330.96,0.76,0.92,4.65,519.122,14.3746,2019-04-18
Kepler-607 c,Kepler-607,1,2,0,2021,Kepler,Kepler CCD Array,39.6769617,5244.0,0.89,0.81,4.45,519.122,14.3746,2014-11-18
Kepler-608 b,Kepler-608,1,1,0,2016,Kepler,Kepler CCD Array,6.41246,5993.0,1.1,1.0,4.35,946.683,14.657,2013-10-28
Kepler-609 b,Kepler-609,1,1,0,2016,Kepler,Kepler CCD Array,6.52121067,5822.0,0.9,0.99,4.53,1065.82,14.8041,2015-08-25
Kepler-61 b,Kepler-61,1,1,0,2013,Kepler,Kepler CCD Array,59.87792,4148.0,0.7,0.65,4.56,335.079,15.0426,2015-10-15
Kepler-610 b,Kepler-610,1,2,0,2016,Kepler,Kepler CCD Array,6.996922,5659.0,0.83,0.94,4.57,845.824,14.7698,2013-10-28
Kepler-610 c,Kepler-610,1,2,0,2016,Kepler,Kepler CCD Array,151.86392,5713.0,0.89,1.01,4.54,845.824,14.7698,2014-11-18
Kepler-611 b,Kepler-611,1,1,0,2016,Kepler,Kepler CCD Array,2.4370333,5984.0,0.98,1.09,4.49,1395.56,14.5717,2015-08-25
Kepler-612 b,Kepler-612,1,1,0,2016,Kepler,Kepler CCD Array,3.72215641,5618.0,0.81,0.88,4.57,1445.53,14.9103,2014-11-21
Kepler-613 b,Kepler-613,1,1,0,2016,Kepler,Kepler CCD Array,15.77980122,5941.0,0.91,1.0,4.52,861.494,14.5892,2017-05-08
Kepler-614 b,Kepler-614,1,1,0,2016,Kepler,Kepler CCD Array,14.03493317,5262.93,0.74,0.9,4.65,527.995,14.5441,2019-04-18
Kepler-615 b,Kepler-615,1,1,0,2016,Kepler,Kepler CCD Array,10.35584657,4523.0,0.54,0.54,4.7,,14.3489,2014-11-21
Kepler-616 b,Kepler-616,1,3,0,2016,Kepler,Kepler CCD Array,9.99761851,5753.0,0.97,0.98,4.46,945.775,14.9475,2016-05-10
Kepler-616 c,Kepler-616,1,3,0,2016,Kepler,Kepler CCD Array,90.4113556,5753.0,0.97,0.98,4.46,945.775,14.9475,2016-05-10
Kepler-616 d,Kepler-616,1,3,0,2021,Kepler,Kepler CCD Array,51.06740189,6004.0,0.98,1.06,4.48,945.775,14.9475,2021-12-05
Kepler-617 b,Kepler-617,1,1,0,2016,Kepler,Kepler CCD Array,,3670.0,0.54,,,173.354,14.8277,2018-09-06
Kepler-618 b,Kepler-618,1,1,0,2016,Kepler,Kepler CCD Array,3.595736,6086.0,1.01,1.05,4.45,1221.96,14.8038,2013-10-28
Kepler-619 b,Kepler-619,1,3,0,2016,Kepler,Kepler CCD Array,5.40426917,5807.76,0.94,1.04,4.51,900.678,14.6704,2018-09-25
Kepler-619 c,Kepler-619,1,3,0,2016,Kepler,Kepler CCD Array,1.20846503,6122.0,0.96,1.04,4.49,900.678,14.6704,2015-08-25
Kepler-619 d,Kepler-619,1,3,0,2023,Kepler,Kepler CCD Array,11.67894845,6122.0,0.96,1.04,4.49,900.678,14.6704,2014-11-21
Kepler-62 b,Kepler-62,1,5,0,2013,Kepler,Kepler CCD Array,5.71489072,4797.0,0.65,0.64,4.61,300.874,13.7197,2015-08-25
Kepler-62 c,Kepler-62,1,5,0,2013,Kepler,Kepler CCD Array,12.4417,4925.0,0.64,0.69,4.68,300.874,13.7197,2014-05-14
Kepler-62 d,Kepler-62,1,5,0,2013,Kepler,Kepler CCD Array,18.16407427,4842.0,0.73,0.79,4.61,300.874,13.7197,2019-04-18
Kepler-62 e,Kepler-62,1,5,0,2013,Kepler,Kepler CCD Array,122.38718812,4842.0,0.73,0.79,4.61,300.874,13.7197,2016-07-28
