pl_name,hostname,No.of stars,No.of Planets,No.of Moons,Discovery year,Discovery facility,Discovery Instrument,Orbital Period,Stellar effective Temparature,Stellar radius,Stellar mass,Stellar surface gravity,distance,Gaia Magnitude,releasedate
Kepler-1355 b,Kepler-1355,1,1,0,2016,Kepler,Kepler CCD Array,1.28959621,5255.0,0.83,0.9,4.56,911.269,15.452,2019-04-18
Kepler-1356 b,Kepler-1356,1,1,0,2016,Kepler,Kepler CCD Array,0.634003,5226.0,0.75,0.84,4.61,845.228,15.7195,2017-05-08
Kepler-1357 b,Kepler-1357,1,1,0,2016,Kepler,Kepler CCD Array,3.0091324,5597.0,0.9,0.93,4.5,1015.69,15.2205,2016-05-10
Kepler-1358 b,Kepler-1358,1,1,0,2016,Kepler,Kepler CCD Array,7.06321927,5134.0,0.79,0.87,4.59,546.998,14.5403,2018-09-25
Kepler-1359 b,Kepler-1359,1,1,0,2016,Kepler,Kepler CCD Array,59.4970952,4817.0,0.83,0.8,4.5,614.859,15.7534,2015-08-25
Kepler-136 b,Kepler-136,2,2,0,2014,Kepler,Kepler CCD Array,11.57894,6158.0,1.21,1.2,4.35,420.818,11.7544,2013-10-28
Kepler-136 c,Kepler-136,2,2,0,2014,Kepler,Kepler CCD Array,16.39926602,6187.46,1.49,1.19,4.17,420.818,11.7544,2016-07-28
Kepler-1360 b,Kepler-1360,1,1,0,2016,Kepler,Kepler CCD Array,,6438.0,2.1,,,1516.27,13.8804,2018-09-06
Kepler-1361 b,Kepler-1361,1,1,0,2016,Kepler,Kepler CCD Array,3.57554956,5213.0,0.92,0.83,4.43,389.143,13.9169,2014-11-21
Kepler-1362 b,Kepler-1362,1,1,0,2016,Kepler,Kepler CCD Array,136.205626,4650.0,0.69,0.7,4.61,731.298,15.8246,2014-11-18
Kepler-1363 b,Kepler-1363,1,1,0,2016,Kepler,Kepler CCD Array,2.941938,4863.0,0.69,0.7,4.61,541.714,15.2923,2013-10-28
Kepler-1364 b,Kepler-1364,1,1,0,2016,Kepler,Kepler CCD Array,13.32191461,6995.0,2.27,1.58,3.92,1056.9,13.1858,2017-05-08
Kepler-1365 b,Kepler-1365,1,2,0,2016,Kepler,Kepler CCD Array,,5700.0,1.65,,,840.128,13.3798,2018-09-06
Kepler-1365 c,Kepler-1365,1,2,0,2016,Kepler,Kepler CCD Array,4.77466043,5727.0,1.1,0.95,4.33,840.128,13.3798,2017-05-08
Kepler-1366 b,Kepler-1366,1,1,0,2016,Kepler,Kepler CCD Array,2.16457059,3941.0,0.55,0.58,4.71,465.826,15.8887,2017-05-08
Kepler-1367 b,Kepler-1367,1,1,0,2016,Kepler,Kepler CCD Array,1.57409027,4106.0,0.6,0.62,4.68,401.484,15.5576,2016-05-10
Kepler-1368 b,Kepler-1368,1,1,0,2016,Kepler,Kepler CCD Array,0.675649,5718.0,0.91,1.05,4.54,1635.82,15.8729,2013-10-28
Kepler-1369 b,Kepler-1369,1,1,0,2016,Kepler,Kepler CCD Array,25.873148,5761.0,0.99,0.99,4.45,1236.56,15.3498,2016-05-10
Kepler-137 b,Kepler-137,1,2,0,2014,Kepler,Kepler CCD Array,8.43640661,5265.0,0.86,0.9,4.52,302.979,12.9414,2019-04-18
Kepler-137 c,Kepler-137,1,2,0,2014,Kepler,Kepler CCD Array,18.73577127,5265.0,0.86,0.9,4.52,302.979,12.9414,2018-09-25
Kepler-1370 b,Kepler-1370,1,2,0,2016,Kepler,Kepler CCD Array,,6190.0,1.5,,,1004.1,13.6743,2018-09-06
Kepler-1370 c,Kepler-1370,1,2,0,2016,Kepler,Kepler CCD Array,7.44136102,5937.0,1.29,1.08,4.25,1004.1,13.6743,2017-05-08
